#********************************************************
# 【明】── 用以校勘版本
#　＝　 ── 作
#　－　 ── 無
#　＋　 ── 有
#　＊　 ── 下同
#　…　 ── 略
#　◎　 ── 異同
#　∞　 ── 位置對調
# （）　── 與＋配合使用
# 〔〕　── 與－配合使用
#　ｉ　 ── 原底本註記應作（原為日文[仁-二]）
#　ｋ　 ── 原底本註記疑似（原為日文[力]）
#　？　 ── 原校對者疑似有誤
#  ●   ── 原書印刷不清
#  ★   ── 找不到源頭的＊
#********************************************************
[000101]01 〔四阿鋡暮抄〕－【宮】
[000420]20 色＝邑【三】【宮】
[000421]21 坻＝抵【宮】
[000422]22 〔願〕－【三】【宮】
[000423]23 立＝五【宋】【宮】
[000424]24 現在＝名【宮】
[000425]25 住止＝止住【三】，止【宮】
[000426]26 署＝暑【宮】
[000501]01 法＋（印）【三】【宮】
[000502]02 定＝空【明】
[000503]03 猶＝由【三】【宮】
[000504]04 正＝止【三】【宮】
[000505]05 是＝見【三】【宮】
[000506]06 耶＝邪【三】【宮】＊
[000507]07 惟＋（智）【三】【宮】
[000508]08 亦＝易【三】【宮】
[000509]09 已＝色【宮】
[000510]10 苦＝若【明】【宮】
[000511]11 〔是道〕－【三】【宮】
[000512]12 人＝名【三】【宮】
[000513]13 上＝止【宮】
[000514]14 〔彼〕－【宮】
[000515]15 意＝竟【三】【宮】
[000516]16 〔者〕－【三】，者＝音【宮】
[000517]17 〔是〕－【三】【宮】
[000518]18 邑＝色【三】【宮】
<000501>＊ 耶＝邪【三】【宮】
[000519]19 如＝知【三】【宮】
<000502>＊ 鋡＝含【三】
[000520]20 解＋（經）【宮】
[000521]21 聞＝開【宋】，間【宮】
[000522]22 具是＝是具【三】【宮】
[000601]01 有＝者【三】
[000602]02 見＝是【三】【宮】
[000603]03 三＝二【三】【宮】
[000604]04 迸火＝大火【宮】
[000605]05 得＝等【明】
[000606]06 〔說〕－【宋】【宮】
[000607]07 兒＝見【明】
[000608]08 住＝婬【三】【宮】
[000609]09 止＝上【宮】
[000610]10 失＝夫【宮】
[000611]11 三＝二【宮】
[000612]12 亂＝純【宮】
[000613]13 上＝止【三】【宮】
[000614]14 阿＝家【明】
[000615]15 是＋（是）【三】【宮】
[000616]16 〔如〕－【三】【宮】
[000617]17 〔意〕－【宋】
[000701]01 脫眼＝眼脫腹【三】【宮】
[000702]02 諍＝爭【三】【宮】
<000701>＊ 鋡＝含【三】
[000703]03 抄解＝經抄【宮】
[000704]04 披＝婆【三】【宮】
[000705]05 門＝問【三】【宮】
[000706]06 嚴＝麗【宋】【宮】，殺【明】
[000707]07 欺＝斯【三】【宮】
[000708]08 祠＝相【宋】【宮】
[000709]09 曰＝自【三】【宮】
[000710]10 問＝間【宮】
[000711]11 〔苦〕－【三】【宮】
[000712]12 收＝救【三】【宮】
[000713]13 行＝仁【宮】
[000714]14 〔他〕－【三】【宮】
[000715]15 法＝佚【宋】【宮】，泆【元】【明】
[000716]16 彼＋（受）【三】【宮】
[000717]17 強＝彌【宮】
[000718]18 〔義〕－【三】【宮】
[000719]19 （所）＋所【三】【宮】
[000801]01 答＋（無如）【三】【宮】
[000802]02 〔名〕－【三】【宮】
[000803]03 名＋（所作）【三】【宮】
[000804]04 言＋（也）【三】【宮】
<000801>＊ 秦＝此【明】
[000805]05 送＝逆【三】【宮】
[000806]06 揵＝犍【三】【宮】
[000807]07 道＋（也）【三】【宮】
[000808]08 淨＝樂【宮】
<000802>＊ 鋡＝含【三】
[000809]09 〔解〕－【宋】【元】
[000810]10 四阿含前行宋元明三本俱有四阿含暮抄解卷下八字，宮本同有四阿含暮抄解六字
[000811]11 〔卷下〕－【三】【宮】
<000803>＊ 〔阿羅漢…撰〕八字－【宮】
<000804>＊ 西域三藏＝沙門【三】【宮】
[000812]12 愛名＝名愛【宮】
[000813]13 慢＋（也）【三】【宮】
[000814]14 象＝像【三】【宮】＊
<000805>＊ 象＝像【三】【宮】
<000806>＊ 象＝像【三】【宮】
[000815]15 名＝多【三】
[000816]16 男＝界【元】【明】【宮】
[000817]17 欲＋（是故婬欲問有著云何答有著者婬色無色）【三】【宮】
[000818]18 〔憂〕－【三】【宮】
[000901]01 著＝者【三】【宮】
[000902]02 說＝就【三】【宮】
[000903]03 何＝阿【宮】
[000904]04 無＝不【宮】
[000905]05 堤彼＝提波【三】【宮】
[000906]06 得＝行【三】
[000907]07 得欲＝欲得【三】【宮】
[000908]08 相＝想【三】【宮】
[000909]09 二＝三【三】【宮】
[000910]10 共＝非【三】【宮】
[000911]11 句＋（耶）【三】【宮】
[000912]12 人＝大【宮】
[000913]13 得＝故【宋】【元】【宮】
[000914]14 意＝竟【三】【宮】
[000915]15 來＋（也）【三】【宮】
[000916]16 苦＝若【三】【宮】
[000917]17 三＝二【明】
[000918]18 濡＝軟【三】【宮】
[000919]19 延＝近【三】【宮】
[000920]20 寤＝悟【三】【宮】＊
<000901>＊ 寤＝悟【三】【宮】
[000921]21 惑＝或【三】【宮】
[000922]22 族＝技【元】【明】
[000923]23 嫉妒也＝修妒路【三】【宮】
[000924]24 〔甚〕－【三】【宮】
[000925]25 妒＋（中嫉妒無限嫉妒此三者增上嫉妒彼甚嫉妒）【三】【宮】
[000926]26 鋡＝含【三】【宮】
[000927]27 被＝彼【三】【宮】
[000928]28 知＝智【三】【宮】
[000929]29 雜＝離【三】
[000930]30 間＝聞【宮】
[001001]01 如＝知【宮】
[001002]02 （是滅）＋是【三】【宮】
[001003]03 或＝惑【三】【宮】
[001004]04 〔不說〕－【三】【宮】
[001005]05 授＋（授）【三】【宮】
[001006]06 命＋（法）【三】【宮】
[001007]07 干＝千【明】
[001008]08 〔黠〕－【三】【宮】
[001009]09 水＝火【三】【宮】
[001010]10 剪＝箭【三】【宮】
[001011]11 生＝之【三】【宮】
[001012]12 路＝跋【三】【宮】
[001013]13 暑＝署【三】【宮】
[001014]14 苦＝若【三】
[001015]15 〔受〕－【三】【宮】
[001016]16 受＝授【三】【宮】
[001017]17 內＋（受）【三】【宮】
[001018]18 五＝吾【三】【宮】＊
<001001>＊ 五＝吾【三】【宮】
[001019]19 向＝響【三】【宮】
<001002>＊ 五＝吾【三】【宮】
[001020]20 時＋（界）【三】【宮】
[001021]21 邑＝色【三】【宮】
[001022]22 二＝立【宮】
[001023]23 九＋（也）【三】【宮】
[001024]24 聞＝問【三】，間【宮】
[001025]25 難＝歎【三】【宮】
[001026]26 說＝諦【三】【宮】
[001027]27 解解＝解脫【三】【宮】
[001028]28 首＝有【宮】
[001029]29 并＝守【宮】
[001030]30 之＝定【宮】
[001031]31 〔苦〕－【三】【宮】
[001032]32 而＝兩【宮】
[001033]33 習＝集【元】【明】
[001034]34 受＝愛【三】【宮】
[001035]35 身＝見【三】【宮】
[001036]36 習＝習盡也【宋】【宮】，集盡也【元】【明】
[001037]37 （受義見分別止思惟也見聞見也如是九十八義結）＋積【三】【宮】
[001038]38 三＝素【三】【宮】
[001039]39 二＝三【三】【宮】
[001040]40 八＋（者也）【三】【宮】
[001041]41 〔也〕－【三】【宮】
[001042]42 （是）＋故【三】【宮】
[001043]43 姓＝性【明】
[001044]44 〔可見〕－【三】【宮】
[001045]45 見＋（也）【三】【宮】
[001101]01 〔塵〕－【三】【宮】
[001102]02 （受色）＋問【三】
[001103]03 〔也〕－【三】【宮】
[001104]04 依＝作【三】【宮】
[001105]05 彼＝行【三】【宮】
[001106]06 答＋（智）【三】【宮】
[001107]07 欲＝路【宋】【宮】
[001108]08 路＋（也）【三】【宮】
[001109]09 者＝有【三】【宮】
[001110]10 想＋（謂）【三】【宮】
[001111]11 疽＝痛【宋】【宮】
[001112]12 壓＝稗【宮】＊
<001101>＊ 壓＝稗【宮】
[001113]13 〔為妙〕－【宮】
[001114]14 言＝無【三】【宮】
[001115]15 十二＝一二【宮】
[001116]16 一切＝一向【三】
[001117]17 繫＝擊【三】【宮】
[001118]18 彈首＝首彈【三】【宮】
[001119]19 鑿鑿＝鑿二【三】，鑒鑒【宮】
[001120]20 息＋（也）【三】【宮】
[001121]21 〔說〕－【三】【宮】
[001122]22 澹＝痰【三】【宮】
[001123]23 雜＝離【三】
[001124]24 想＝相【三】
[001125]25 根＝眼【三】【宮】
[001126]26 〔生〕－【三】【宮】
[001201]01 為＝謂【明】
[001202]02 〔滅〕－【三】【宮】
[001203]03 識＝謂【三】【宮】
[001204]04 〔智前說〕－【三】【宮】
[001205]05 智＋（所布依智）【三】【宮】
[001206]06 間＝聞【三】【宮】
[001207]07 相＋（相）【三】【宮】
[001208]08 根＝相【三】【宮】
[001209]09 （若）＋命【三】【宮】
[001210]10 〔長轉〕－【三】【宮】
[001211]11 （次）＋衢【三】【宮】
[001212]12 〔[爵-(采-木)+(樊-大)]怛〕－【宮】
[001213]13 婆＋（北方也地名也修妒路也）夾註【三】【宮】
[001214]14 （閻浮提弗婆鞞提衢陀尼[爵-(采-木)+(樊-大)]怛鳩羅婆）＋者【三】【宮】
[001215]15 （轉）＋轉【三】【宮】
[001216]16 〔姊〕－【宮】
[001217]17 他＝化【三】【宮】
[001218]18 摩＝磨【三】【宮】＊
<001201>＊ 摩＝磨【三】【宮】
[001219]19 秦＝此【明】＊
[001220]20 〔故〕－【三】【宮】
<001202>＊ 秦＝此【明】
[001221]21 婬＝姓【宮】
[001222]22 梵＝故【三】【宮】
[001223]23 曰＝日【三】
[001224]24 二＝三【元】【明】
<001203>＊ 秦＝此【明】
[001225]25 地＋（山）【三】【宮】
[001226]26 倍＝信【宋】【元】【宮】
[001227]27 〔獄〕－【三】【宮】
[001228]28 （是）＋中【三】【宮】
<001204>＊ 秦＝此【明】
<001205>＊ 秦＝此【明】
[001229]29 簸＝波【三】【宮】＊
<001206>＊ 秦＝此【明】
[001230]30 戰＋（也）【三】【宮】
[001231]31 路＋（也）【三】【宮】
[001232]32 取＝聚【三】【宮】
[001233]33 皰＝[病-丙+包]【三】【宮】＊
<001207>＊ 皰＝[病-丙+包]【三】【宮】
<001208>＊ 皰＝[病-丙+包]【三】【宮】
[001234]34 內＝肉【三】【宮】
[001235]35 部＝剖【三】【宮】
[001236]36 倒＝到【明】
[001237]37 〔罪〕－【明】
[001238]38 揵＝犍【三】【宮】＊
<001209>＊ 揵＝犍【三】【宮】
[001239]39 象＝像【三】【宮】＊
[001240]40 詭＝謂【三】，許【宮】
<001210>＊ 揵＝犍【三】【宮】
[001241]41 圍＋（也）【三】【宮】
[001242]42 人＝入【三】【宮】
[001243]43 駭駭＝駁鮫【三】【宮】
[001301]01 甘[卄/果]＝桓果【三】【宮】
[001302]02 棖＝拫【宋】【元】，[常-吊+足]【宮】
[001303]03 考掠＝拷掠【元】【明】下同
[001304]04 役＝隨役【三】，隨彼【宮】
[001305]05 那＝刪【宮】
[001306]06 （耆）＋諶【三】
[001307]07 斤＝近【宮】
[001308]08 破＝斫【三】
[001309]09 （合）＋會【三】【宮】
[001310]10 [卄/騰]＝藤【三】【宮】
[001311]11 鉞＝[飢-几+戊]【明】
[001312]12 破＝斫【三】【宮】
[001313]13 綖＝線【三】【宮】＊
<001301>＊ 綖＝線【三】【宮】
<001302>＊ 綖＝線【三】【宮】
[001314]14 吸＝歙【三】【宮】
[001315]15 熱＝載【三】【宮】
[001316]16 火＝大【宮】
<001303>＊ 象＝像【三】【宮】
[001317]17 拶＝磋【三】【宮】＊
<001304>＊ 壓＝稗【宮】
[001318]18 瓜＝抓【三】【宮】
<001305>＊ 拶＝磋【三】【宮】
[001319]19 臼亦＝曰爾【宮】
[001320]20 臼＝囚【宮】
[001321]21 爪＝抓【三】【宮】
[001322]22 然＋（也）【三】【宮】
[001323]23 八十＝十八【宮】
[001324]24 輕考＝輕者【三】
[001325]25 米＝來【宮】
[001326]26 此＋（三）【三】【宮】
[001327]27 〔啼〕－【宮】
<001306>＊ 象＝像【三】【宮】
[001328]28 陀＝阮【宋】【宮】，阨【元】【明】
[001329]29 密＝蜜【宮】
[001330]30 蛇＝地【三】
[001331]31 彼＝被【三】【宮】
[001332]32 叉＝又【三】【宮】＊
<001307>＊ 叉＝又【三】【宮】
[001333]33 拔＝狀【宮】
[001334]34 〔無〕－【三】【宮】
[001335]35 俞＝瑜【宋】【元】【宮】，踰【明】
[001336]36 駱＝馲【三】【宮】
[001337]37 炬＝焦【三】【宮】
[001338]38 咽＝胭【宮】＊
<001308>＊ 咽＝胭【宮】
[001339]39 不＝下【宮】
[001340]40 〔入〕－【宮】
[001341]41 嚙＋（也）【三】【宮】
[001342]42 咽＝胭【三】【宮】
[001343]43 〔下〕－【三】【宮】
[001344]44 （或）＋故【三】【宮】
[001345]45 無＝九【三】
[001346]46 世＝二十【宮】
[001347]47 〔親〕－【三】
[001348]48 祀＝禮【宮】
[001349]49 吐也＝比丘【三】【宮】
<001309>＊ 叉＝又【三】【宮】
[001350]50 火＝大【三】【宮】
[001401]01 彼＝波【宮】
[001402]02 〔及念〕－【三】【宮】
[001403]03 如＝知【三】【宮】
[001404]04 自＝如【三】【宮】
[001405]05 富＋（樓）【元】【明】
[001406]06 （淨）＋眷【三】【宮】
[001407]07 〔也〕－【三】
[001408]08 波＝彼【三】【宮】
[001409]09 音＋（嘬）【三】
[001410]10 彼＝波【宮】＊
[001411]11 波＝婆【宮】＊
<001401>＊ 波＝婆【宮】
[001412]12 〔無量淨〕－【宮】
[001413]13 得＝淨【宮】
[001414]14 婆＝娑【元】【明】
[001415]15 疑＝隸【三】【宮】
[001416]16 阿＝陀【三】【宮】
[001417]17 戈＝我【宮】
[001418]18 想＋（天）【三】【宮】
<001402>＊ 彼＝波【宮】
[001419]19 光＋（天）【三】【宮】
[001420]20 披＝婆【三】【宮】＊
[001421]21 老＋（死）【三】【宮】
[001422]22 〔曰〕－【宮】
[001423]23 路＋（也）【三】【宮】
[001424]24 穬＝[麩-夫+廣]【三】【宮】
[001425]25 入＝八【三】【宮】
[001426]26 卒＝平不平【三】【宮】
[001427]27 著＋（也）【三】，著＋（者）【宮】
[001428]28 俞＝喻【宋】【元】【宮】，逾【明】
[001429]29 在＝是【三】【宮】
[001430]30 優＝俱【三】【宮】
[001431]31 〔行〕－【三】【宮】
[001432]32 在＝來【三】【宮】
[001433]33 禘＝揥【三】【宮】
[001434]34 提＝堤【三】【宮】
[001435]35 然＝邪【三】【宮】
[001436]36 人＋（言也）【三】【宮】
[001437]37 〔言〕－【三】【宮】
[001438]38 能＝餘【三】【宮】
[001501]01 知＝如【宮】
[001502]02 相應＝根想【三】，相想【宮】
[001503]03 若＋（法）【三】【宮】
<001501>＊ 摩＝磨【三】【宮】
[001504]04 末＝未【宮】＊
[001505]05 〔也〕－【三】【宮】＊
<001502>＊ 摩＝磨【三】【宮】
<001503>＊ 末＝未【宮】
<001504>＊ 〔也〕－【三】【宮】
<001505>＊ 摩＝磨【三】【宮】
<001506>＊ 摩＝磨【三】【宮】
<001507>＊ 摩＝磨【三】【宮】
<001508>＊ 摩＝磨【三】【宮】
<001509>＊ 末＝未【宮】
[001506]06 者亦＝所作【三】
[001507]07 此＝自【明】
[001508]08 知＝如【宮】
[001509]09 偈＋（也）【宋】【元】【宮】，偈＋（宅）【明】
[001510]10 讀＝讚【三】【宮】
[001511]11 也＝京【明】
[001512]12 〔二〕－【三】
[001513]13 盧＋（也）【三】【宮】
[001514]14 （（東晉…譯））十三字＝（（晉太始元年僧伽提婆共慧遠譯））十三字【宋】【宮】，（（尊者山賢造，東晉太始元年三藏僧伽提婆共慧遠譯））二十一字【元】，（（尊者山賢造，東晉三藏僧伽提婆共慧遠譯）十七字【明】，中下卷亦同
[001515]15 唯＝惟【三】【宮】＊
[001516]16 門＝問【三】
[001517]17 〔覺〕－【宋】【元】
[001518]18 問＝門【三】
[001519]19 答＋（已）【三】【宮】
[001520]20 昆＝[虫*昆]【三】【宮】
[001601]01 若＝苦【三】【宮】＊
[001602]02 （為）＋伏【三】【宮】
[001603]03 自＝目【宮】
[001604]04 （福者數數將人善處亦揚去惡故謂為福）＋問【三】【宮】
[001605]05 咎＝吝【明】
[001606]06 〔他〕－【三】【宮】
[001607]07 於＝其【三】【宮】
[001608]08 枝＝支【三】【宮】＊
[001609]09 牙＝芽【三】【宮】
[001610]10 〔臣〕－【三】【宮】
[001611]11 〔欲〕－【三】【宮】
[001612]12 〔者〕－【三】【宮】
[001613]13 〔所〕－【三】【宮】
[001614]14 （愚）＋癡【三】【宮】
[001615]15 相＝想【三】【宮】
[001616]16 是＋（不）【宮】
[001617]17 增＝憎【三】【宮】＊
<001601>＊ 增＝憎【三】【宮】
[001618]18 怒＝恕【三】【宮】＊
<001602>＊ 怒＝恕【三】【宮】
[001701]01 多＝名【三】【宮】
<001701>＊ 枝＝支【三】【宮】
[001702]02 故＝彼【三】【宮】
[001703]03 〔答〕－【三】【宮】
[001704]04 濡＝軟【三】【宮】＊
[001705]05 真＋（者）【三】【宮】
[001706]06 者＝名【三】【宮】
<001702>＊ 枝＝支【三】【宮】
[001707]07 鴟＝項【宮】
[001708]08 糞掃＋（衣）【三】【宮】
[001709]09 栴＝氈【三】【宮】下同
[001710]10 惟＝唯【宮】
[001711]11 塚＝家【宮】
[001712]12 困＝因【三】【宮】
[001713]13 政＝正【三】【宮】
[001714]14 （彼）＋如是【三】【宮】
[001715]15 受＝愛【三】【宮】
<001703>＊ 濡＝軟【三】【宮】
[001801]01 受＝痛【三】【宮】
[001802]02 問＝間【三】【宮】
[001803]03 散＝故【宋】【宮】
[001804]04 降＝諸【三】
[001805]05 度＝瞻【三】【宮】
[001806]06 華＝葉【宋】
[001807]07 種＝陰【三】【宮】
[001808]08 （瞋）＋恚【三】【宮】
[001809]09 惡恚＝所瞋惡【三】【宮】
[001810]10 而＝不【三】
[001811]11 為＋（聞）【三】【宮】
[001812]12 心＝必【三】【宮】
[001813]13 曰＝云【三】【宮】
[001814]14 置＝最【三】【宮】
<001901>＊ 若＝苦【三】【宮】
[001901]01 想＝相【三】【宮】下同
[001902]02 俱＝但【宮】
[001903]03 無＝不【宮】
<001902>＊ 枝＝支【三】【宮】
[001904]04 實＝寶【宮】
[001905]05 勳＝熏【三】【宮】
[001906]06 後＝復【三】【宮】
[001907]07 止＝此【明】
[001908]08 如是＋（觀智如是）【三】【宮】
[001909]09 智＝知【三】【宮】
[001910]10 〔故〕－【三】
[001911]11 生＋（現在）【三】【宮】
[002001]01 熏＝動【三】【宮】
[002002]02 （盡智）＋無生智【三】【宮】
[002003]03 是＝者【宮】
[002004]04 銀＝餘【宋】【元】【宮】
<002001>＊ （（東晉…譯））十三字＝（（晉太始元年僧伽提婆共慧遠譯））十三字【宋】【宮】，（（尊者山賢造，東晉太始元年三藏僧伽提婆共慧遠譯））二十一字【元】，（（尊者山賢造，東晉三藏僧伽提婆共慧遠譯）十七字【明】，中下卷亦同
[002005]05 （德品之餘）＋問【三】【宮】
[002006]06 逮＝建【明】
[002007]07 亦＋（復爾耶）【三】【宮】
[002008]08 相＝根【三】【宮】
[002009]09 是＋（故）【三】【宮】
[002010]10 〔無〕－【三】【宮】
[002011]11 〔脫〕－【三】【宮】
[002012]12 示＝二【宮】
[002013]13 〔故〕－【三】【宮】
[002014]14 如＋（是）【三】【宮】
[002015]15 （勝）＋俱【三】【宮】
[002016]16 解脫＋（具得解脫）【三】【宮】
[002101]01 結＋（已）【三】【宮】
[002102]02 升＝昇【宮】＊
<002101>＊ 升＝昇【宮】
<002102>＊ 升＝昇【宮】
<002103>＊ 升＝昇【宮】
[002103]03 三＝二【宮】
[002104]04 以＝已習【三】，已修【宮】
[002105]05 以＝已【三】【宮】
[002106]06 〔思念〕－【三】
[002107]07 及＝亦【三】【宮】
[002108]08 塚＝家【宮】
[002109]09 上＝止【三】【宮】
[002110]10 （第）＋二【三】【宮】
[002111]11 解脫＋（德品第三真度竟）夾註【宋】【元】【宮】，（德品第三真度說竟）夾註【明】
[002112]12 （三法度論）＋惡品第二【宋】【元】【宮】
[002113]13 某＝其【三】【宮】
[002114]14 非殺生＝無殺生具者殺生【三】【宮】
[002201]01 土＝士【三】【宮】
[002202]02 王＝主【宋】【元】【宮】
[002203]03 〔名〕－【三】【宮】
[002204]04 說＋（無咎）【三】【宮】
[002205]05 若＝名【三】【宮】
[002206]06 經＝婬【三】＊
<002201>＊ 經＝婬【三】
[002207]07 行＋（口意惡行）【三】【宮】
[002208]08 那＝耶【三】【宮】
[002209]09 〔亦〕－【三】【宮】
[002210]10 （在眾）＋在【三】【宮】
[002211]11 誠＋（說）【三】【宮】
[002212]12 薩云＝菩薩【三】【宮】
[002213]13 爾＝念【宮】
[002214]14 業＋（分別業）【三】【宮】
[002301]01 〔一〕－【元】
[002302]02 〔說〕－【宋】【元】【宮】＊
[002303]03 此欲＝欲此【三】【宮】
[002304]04 著＝若【三】
[002305]05 若＝著【三】【宮】
[002306]06 〔梵〕－【三】【宮】
[002307]07 答＝若【三】【宮】
[002308]08 〔問〕－【三】【宮】
[002309]09 怨＋（怨）【三】【宮】
[002310]10 有＝者【三】【宮】
[002401]01 憂懼＝受具【三】，憂懼＋（愛具）【宮】
<002401>＊ 〔說〕－【宋】【元】【宮】
[002402]02 或＝惑【三】【宮】＊
<002402>＊ 或＝惑【三】【宮】
[002403]03 （必爾）＋我【三】【宮】
[002404]04 邑＝色【三】【宮】
[002405]05 （是）＋謂【三】【宮】
[002406]06 世間＋（者〕【三】【宮】
[002407]07 壞＝德【三】【宮】
[002408]08 舉＝學【宮】
[002409]09 某＝其【三】【宮】
[002410]10 〔學〕－【三】【宮】
[002411]11 集＝習【三】【宮】下同
[002412]12 滅＝盡【三】【宮】
[002501]01 諦無＝無諦【三】【宮】
[002502]02 八＝入【三】【宮】
[002503]03 無願無想＝無相無願【三】【宮】
[002504]04 〔說〕－【宋】【宮】
<002501>＊ （（東晉…譯））十三字＝（（晉太始元年僧伽提婆共慧遠譯））十三字【宋】【宮】，（（尊者山賢造，東晉太始元年三藏僧伽提婆共慧遠譯））二十一字【元】，（（尊者山賢造，東晉三藏僧伽提婆共慧遠譯）十七字【明】，中下卷亦同
[002505]05 〔故〕－【三】【宮】
[002506]06 如＝也【三】【宮】
[002507]07 若＝苦【三】【宮】
[002508]08 （時）＋悅樂【三】【宮】
[002509]09 增＝憎【三】【宮】
[002510]10 〔者〕－【三】【宮】
[002601]01 癡＝痛【三】【宮】
[002602]02 說＋（禪如所說）【三】【宮】
[002603]03 澹＝痰【三】【宮】下同
[002604]04 涎＝[口*延]【宋】【元】【宮】
[002605]05 多＝名【三】【宮】
[002606]06 若＝苦【明】【宮】
[002607]07 〔崩〕－【三】【宮】
[002608]08 〔一〕－【三】【宮】
[002609]09 酥＝蘇【宋】【元】【宮】＊
<002601>＊ 酥＝蘇【宋】【元】【宮】
[002610]10 緣＋（之）【三】【宮】
[002611]11 〔說〕－【宋】【元】【宮】＊
[002612]12 〔界〕－【三】【宮】
[002613]13 根＝相【三】【宮】
[002614]14 未＝味【宮】
[002615]15 具＝其【三】【宮】
[002616]16 （若）＋說【三】【宮】
[002617]17 歡＝觀【三】【宮】＊
<002602>＊ 歡＝觀【三】【宮】
[002618]18 見＝是【三】【宮】
[002619]19 炎磨天晉曰時分天也＝焰磨此曰時分【明】，炎磨天晉曰時天也【宮】
[002701]01 說＝悅【三】【宮】
[002702]02 （（兜率…也））十字＝（（兜率哆此曰知足））七字【明】
[002703]03 〔若共〕－【三】【宮】
