#T24
#********************************************************
# 【明】── 用以校勘版本
#　＝　 ── 作
#　－　 ── 無
#　＋　 ── 有
#　＊　 ── 下同
#　…　 ── 略
#　◎　 ── 異同
#　∞　 ── 位置對調
# （）　── 與＋配合使用
# 〔〕　── 與－配合使用
# （（））─ 與＝配合使用
#　ｉ　 ── 原底本註記應作（原為日文[仁-二]）
#　ｋ　 ── 原底本註記疑似（原為日文[力]）
#　？　 ── 原校對者疑似有誤
#  ●   ── 原書印刷不清
#  ★   ── 找不到源頭的＊
#********************************************************
[009901] 〔大〕－【明】＊
[011703] 〔至菩薩〕－【明】
[011704] 皆＝是【明】
[011705] 揶揄＝耶輸【明】
[011706] 音樂＝菩薩【明】
[011707] 左右＝右左【明】
[011708] 是＝爾【明】＊
[011709] 被＝披【明】＊
[011710] 逼迫＝煎逼【明】
[011711] 懊＝煩【明】
[011712] 大＝天【明】
[011713] 可不＝不可【明】
[011714] 抱＝扼【明】
[011715] 項＝頂【明】
[011716] 慟＝動【明】
[011717] 惡＝粟【明】
[011718] 取女為妻＝娶妻【明】
[011801] 〔於〕－【明】
[011802] 困＝因【明】
[011803] 與＝冀【明】
[011804] 殺＝教【明】＊
[011805] 遍＝通【明】
[011806] 今＝令【明】＊
[011807] 爾＝是【明】
[011808] 支＝搘【明】
[011809] 弶＝殑【明】＊
[011810] 〔出〕－【明】
[011811] 要＝便【明】
[011812] 糞＝塵【明】
[011813] 竭＝揭【明】
[011814] 種＝眾【明】
[011815] 便即＝即便【明】
[011901] 甚＝盛【明】
[011902] 嬌＝憍【明】
[011903] 彼＝往【明】
[011904] 輪常＝常輪【明】
[011905] 〔作〕－【明】
[011906] 〔仙〕－【明】
[011907] 〔亦〕－【明】
[011908] 〔大〕－【明】
[011909] 〔帝〕－【明】
[011910] 耶＝邪【明】
[011911] 〔欲〕－【明】＊
[011912] 〔羅〕－【明】
[011913] 乃＝來【明】
[011914] 〔以〕－【明】
[011915] 證＝正【明】
[011916] 林＋（林）【明】
[011917] 欲＝亦【明】
[011918] 〔曰〕－【明】
[011919] 〔此〕－【明】
[011920] 故＝法【明】
[012001] [亞*斤]＝斷【明】
[012002] 苦＋（苦）【明】
[012003] 無＝於【明】
[012004] [橐-木+棐]＝排【明】＊
[012005] 其＝身【明】
[012006] 藏＝臟【明】
[012007] 腹＝脹【明】＊
[012008] 告＋（菩薩）【明】
[012009] 今＝念【明】
[012010] 常＝當【明】
[012011] 酸＝踆【明】
[012012] 〔未〕－【明】
[012101] 愛＝受【明】
[012102] 蓽＝果【明】
[012103] 憔＝悴【明】
[012104] 復＋（復）【明】
[012105] 知＋（苦）【明】
[012106] 輒＝耶輸【明】
[012107] 〔苦〕－【明】
[012108] 右＝上【明】
[012109] 波＝婆【明】
[012110] 〔村〕－【明】
[012111] 〔唐言會軍村也〕－【明】
[012112] 種＝眾【明】
[012113] 〔者〕－【明】
[012114] 將上＝上將【明】
[012201] 此＝次【明】
[012202] 〔王〕－【明】
[012203] （又復）＋問【明】
[012204] 於＝如【明】
[012205] 捧＝奉【明】
[012206] 尼＝泥【明】＊
[012207] 〔菩薩〕－【明】＊
[012208] 〔弶伽〕－【明】
[012209] 覓＝見【明】
[012210] 風＋（雨）【明】
[012211] 洒＝灑【明】＊
[012212] 被＝披【明】
[012213] 身＝見【明】
[012301] 〔已〕－【明】
[012302] 〔生〕－【明】
[012303] 〔所生…多〕十二字－【明】
[012304] 〔令我〕－【明】
[012305] 〔者〕－【明】＊
[012306] 〔當〕－【明】
[012307] 懊＝煩【明】＊
[012308] 支＝搘【明】
[012309] 狐＝鶘【明】【明】
[012310] 〔思〕－【明】
[012311] 〔落〕－【明】
[012312] 抹＝粖【明】
[012313] [皮*氐]＝胝【明】
[012314] 〔樹〕－【明】
[012315] 〔天〕－【明】
[012316] 把樹＝各把【明】
[012317] 〔復〕－【明】
[012318] 軍＝王【明】
[012319] 見＝現【明】＊
[012320] 婆＝娑【明】
[012401] 驕＝憍【明】＊
[012402] 是＝為【明】
[012403] 三四＝三生四生【明】
[012404] 〔生〕－【明】
[012405] 深＝染【明】
[012406] 耶＝邪【明】＊
[012407] 〔修〕－【明】
[012408] 于＝了【明】
[012409] 于＝於【明】＊
[012410] 〔於〕－【明】
[012411] 檀＝壇【明】
[012412] 〔城〕－【明】
[012413] 〔名〕－【明】
[012414] （名）＋字【明】
[012415] 投＝放【明】
[012416] 至＝生【明】
[012417] 〔水〕－【明】
[012418] 綿＝線【明】
[012419] 歎＝欣【明】
[012420] （即）＋攝【明】
[012501] 時二＝爾時【明】
[012502] 則＝即【明】
[012503] 天遂便隱＝遂便隱沒【明】
[012504] 義利＝利益【明】
[012505] 故＝布【明】
[012506] 〔眾〕－【明】
[012507] 婆＝波【明】＊
[012508] 唯＝惟【明】＊
[012601] 〔中〕－【明】
[012602] 覆＝復【明】
[012603] 若＝不【明】
[012604] 不＝亦【明】
[012605] 茶＝荼【明】
[012606] 現＝見【明】
[012607] 復＝後【明】
[012701] 其＝今【明】
[012702] 波羅＝婆羅【明】下同
[012703] 那＝羅【明】
[012704] 竟＝意【明】
[012705] 以＝已【明】
[012706] 〔近〕－【明】
[012707] 〔處〕－【明】
[012708] 所＝何【明】
[012709] [冰-水+食]＝食【明】
[012710] 〔滅〕－【明】＊
[012711] 〔法〕－【明】
[012712] 〔聖〕－【明】
[012801] 魔＋（界）【明】
[012802] 天人＝人天【明】
[012803] 〔法〕－【明】
[012804] 以＝已【明】
[012805] 魔＝摩【明】
[012806] 謂＋（後有）【明】
[012807] 〔後〕－【明】
[012808] 時＝何謂【明】
[012809] 〔間〕－【明】
[012810] 〔者〕－【明】
[012811] 〔無可取〕－【明】
[012812] [木*柰]＝奈【明】＊
[012813] 伎＝妓【明】＊
[012814] 至＝王【明】
[012901] 既＋（除）【明】
[012902] 白＝向【明】
[012903] 耶＝邪【明】
[012904] 于＝於【明】下同
[012905] 座已＝已訖【明】
[012906] 人＝生【明】
[012907] 演＝復【明】
[012908] 婆＝波【明】
[012909] 食＝今【明】
[012910] 洒＝灑【明】
[012911] 被＝披【明】下同
[013001] 悟解＝解悟【明】
[013002] 〔此〕－【明】
[013003] 答＝報【明】
[013004] 〔沙門〕－【明】
[013005] 懺＝惡【明】
[013006] 則＝即【明】
[013007] 〔頂〕－【明】
[013008] 唯＝惟【明】
[013101] 今以＝爾今【明】
[013102] 迦攝＝迦葉【明】下同
[013103] 是＝此【明】
[013104] 貌＝色【明】
[013105] 盤＝蟠【明】
[013106] 邪＝耶【明】
[013107] 祠＝祀【明】下同
[013108] 〔是〕－【明】
[013109] 滅其火＝火滅【明】
[013110] [匆/心]燃＝忽然【明】
[013201] 迦攝＝迦葉【明】下同
[013202] 祀＝祠【明】
[013203] 語＝念【明】
[013204] [匆/心]＝忽【明】
[013205] 此作是＝是作此【明】
[013206] 〔光照…[去*ㄗ]〕十六字－【明】
[013207] 如＝知【明】＊
[013208] 〔來〕－【明】
[013209] 〔光〕－【明】
[013210] 〔時〕－【明】
[013211] 〔至〕－【明】
[013301] 〔說〕－【明】
[013302] 現此＝見如【明】
[013303] 〔於〕－【明】
[013304] 于＝於【明】下同
[013305] 屈＝曲【明】
[013306] 曬＝曝【明】
[013307] 阿＝大【明】
[013308] 唯＝惟【明】下同
[013309] 〔本依〕－【明】
[013310] 尼連河＝居【明】
[013311] 是＝被【明】
[013312] 被＝披【明】
[013401] 〔等〕－【明】
[013402] 指＝攝【明】
[013403] 〔性〕－【明】
[013404] 地＝池【明】
[013405] 〔一〕－【明】
[013406] 〔通〕－【明】
[013407] 為＝謂【明】
[013408] 伽＝迦【明】
[013409] 杖＝仗【明】下同
[013410] 信心＝心信【明】
[013411] 是＝斯【明】
[013412] 間＝問【明】
[013413] 羅＋（王）【明】
[013414] 人＝生【明】
[013415] 占＝瞻【明】
[013501] 〔象寶〕－【明】
[013502] 〔者〕－【明】
[013503] 諸＝是【明】
[013504] 令＝今【明】
[013505] 國＋（人）【明】
[013506] 持＝時【明】
[013507] 入＝大【明】
[013601] 〔者〕－【明】
[013602] 〔所〕－【明】
[013603] 竟＝定【明】
[013604] 〔劣者〕－【明】
[013605] 〔從〕－【明】
[013606] 變＝處【明】
[013607] 〔我〕－【明】
[013608] 諸＝識【明】
[013609] 〔無可取〕－【明】
[013610] 〔法〕－【明】
[013611] 〔度〕－【明】
[013612] 〔日〕－【明】
[013701] 成就＝熟【明】
[013702] 暴＝瀑【明】
[013703] 〔所作…自〕十六字－【明】
[013704] 說＋（偈）【明】
[013705] 令＝今【明】
[013706] 〔王〕－【明】
[013707] 莊＝粧【明】
[013708] 飾＋（復以珍寶而共粧飾）【明】
[013709] 業＝根【明】
[013710] 清淨眼＝法眼淨【明】
[013711] 白＝業【明】
[013712] 迦攝＝迦葉【明】下同
[013713] 波羅＝婆0羅【明】下同
[013714] 瓶＝[分/瓦]【明】
[013715] 兄言＝言修【明】
[013716] 〔等〕－【明】
[013717] 所＝處【明】
[013718] 授＝受【明】
[013719] 〔號〕－【明】
[013801] 及＝反【明】＊
[013802] 喜＝娛【明】
[013803] 〔驚〕－【明】
[013804] 白＝曰【明】
[013805] 羯＝揭【明】
[013806] 唯＝惟【明】下同
[013807] 為＝有【明】
[013808] 揵＝犍【明】下同
[013809] 〔屬〕－【明】
[013810] 〔復〕－【明】
[013811] 〔眾〕－【明】
[013812] 被＝披【明】下同
[013813] 〔明〕－【明】
[013814] 輪＝輅【明】
[013901] 淨＝浮【明】
[013902] 以＝已【明】
[013903] 嬌＝憍【明】
[013904] 筏＝伐【明】＊
[013905] 今＝令【明】
[014001] 于＝於【明】
[014002] 〔便〕－【明】
[014003] 收＝取【明】
[014004] 祇＝祗【明】
[014005] 延＝近【明】
[014006] 覓＝於【明】
[014007] 爾＝是【明】
[014008] 人＋（天）【明】
[014009] 即便化作＝便即化為【明】
[014010] 為＝作【明】
[014011] 害＝壞【明】
[014012] 〔願救我命〕－【明】
[014013] 智＝知【明】
[014014] 性＝在【明】
[014101] 〔子〕－【明】
[014102] 置＝量【明】
[014103] 隨＝遂【明】
[014104] 〔歡喜〕－【明】
[014105] 小＝少【明】
[014201] 茶＝荼【明】
[014202] 莊嚴＝莊飾【明】
[014203] 足＝步【明】
[014204] 得＝能【明】
[014205] 酬＝讎【明】
[014206] 〔豈〕－【明】
[014207] 是＝事【明】
[014208] 剎＝利【明】
[014209] 〔者〕－【明】
[014210] 篾＝滅【明】＊
[014211] 者懷輕惱＝懷輕惱者【明】
[014212] 背皆＝皆能【明】
[014301] 盛＝熾【明】
[014302] 禮佛＝作禮【明】
[014303] 烏＝鄔【明】
[014304] 便住＝使往【明】
[014305] 〔鄔陀夷〕－【明】
[014306] 世尊＋（世尊）【明】
[014307] 〔彼〕－【明】
[014308] 教師＝師教【明】
[014309] 〔於〕－【明】
[014310] 於＝我【明】
[014311] 悉達＋（太子）【明】
[014312] 王＋（又）【明】
[014313] 擗＝躄【明】
[014314] 洒＝灑【明】
[014401] 修＋（理）【明】
[014402] （可）＋如【明】
[014403] 誓＝逝【明】＊
[014404] 閤＝閣【明】
[014405] 揵＝犍【明】下同
[014406] 〔悉〕－【明】
[014407] 〔諸〕－【明】
[014408] 于＝於【明】下同
[014409] 教＝告【明】
[014410] 時＝是【明】
[014411] 頓＝須【明】
[014412] 〔便〕－【明】
[014413] 唯＝惟【明】
[014414] 便＝使【明】
[014415] 由＝猶【明】
[014416] 〔親〕－【明】
[014417] （諸）＋王【明】
[014418] 閣上＝上正【明】
[014419] 家＝官【明】
[014420] 立＝今【明】
[014421] 柏＝拘【明】
[014422] 石＝[疊*毛]【明】
[014423] 〔汝〕－【明】
[014501] 爾＝是【明】
[014502] 設＝故【明】
[014503] 設＝誑【明】
[014504] 今＝令【明】
[014505] 〔王〕－【明】
[014506] 〔雜〕－【明】
[014507] 具＝且【明】
[014508] 〔此云缺財〕－【明】
[014509] 白＝由【明】
[014510] 事＝依【明】
[014511] 〔言〕－【明】
[014512] 〔及〕－【明】
[014513] 簡＝揀【明】
[014514] 〔一〕－【明】
[014601] 〔爾〕－【明】
[014602] 〔鄔〕－【明】＊
[014603] 〔種〕－【明】
[014604] 〔汝〕－【明】
[014605] 〔拜〕－【明】
[014606] 鄔＝那【明】
[014607] 波＝婆【明】
[014608] 摘採＝採摘【明】
[014609] 〔女〕－【明】
[014610] 歡樂＝歡喜【明】
[014611] 〔服〕－【明】
[014612] 記＝說【明】
[014613] 所覺＝覺知【明】
[014614] 始驚悟＝寤【明】
[014615] 家＝處【明】
[014616] 半＝牛【明】
[014617] 壽＝授【明】
[014618] 賢壽＝端正【明】
[014619] 說＝此【明】
[014620] 語＝話【明】
[014621] 與＝得【明】
[014622] 〔我〕－【明】
[014623] 物＝時【明】
[014624] 悔＝懊【明】
[014625] 復＝覆【明】＊
[014701] 者＝去【明】
[014702] 〔生敬…王〕十二字－【明】
[014703] 河＝何【明】＊
[014704] 他＝陀【明】＊
[014705] 驅＝馳【明】
[014706] 加修＝修如【明】
[014707] 此＝是【明】
[014708] 苦作得＝若得作【明】
[014709] 諸垢＝除諸【明】
[014710] 母＝汝【明】
[014711] 而＝時【明】
[014712] 其＝具【明】
[014713] 信＝性【明】
[014714] 于＝於【明】下同
[014715] 〔其〕－【明】
[014716] 〔彼〕－【明】
[014717] 生＝作【明】
[014801] 時＝其【明】
[014802] 忠＝衷【明】
[014803] 〔尼〕－【明】
[014804] 〔時〕－【明】
[014805] 其大＝大眾【明】
[014806] 為＝無【明】
[014807] 林＝於【明】
[014808] [打-丁+王]＝枉【明】
[014809] 已＝以【明】
[014810] 支＝搘【明】＊
[014811] 刺＝賴【明】＊
[014812] 因＝由【明】
[014813] 惷＝癡【明】
[014814] 於＝以【明】
[014815] [者*見]＝堵【明】
[014816] 黎＝犁【明】＊
[014817] 方＝不【明】
[014818] 與＝興【明】
[014819] 小＝少【明】
[014901] 他＝陀【明】
[014902] 陵＝[麩-夫+欠]【明】＊
[014903] 耶＝邪【明】＊
[014904] 亡＝巨【明】
[014905] 共＝供【明】
[014906] 績＝[糸*匱]【明】＊
[014907] 〔縷〕－【明】
[014908] 筏＝伐【明】＊
[014909] 恃＝忖【明】
[014910] 池＝地【明】
[014911] 竇＝瀆【明】
[014912] [打-丁+它]＝柁【明】
[014913] 婉＝宛【明】
[014914] 始＝如【明】
[015001] 中＝巳【明】
[015002] 〔如〕－【明】
[015003] 〔並〕－【明】
[015004] 燎＝療【明】
[015005] 怛＝呾【明】
[015006] 〔墮〕－【明】
[015007] 囉＝羅【明】＊
[015008] 嗢＝呾【明】＊
[015009] 隙獄受＝間獄【明】
[015010] 注＝澍【明】＊
[015011] 渧＝滴【明】
[015012] 命＝念【明】
[015013] 競＝竟【明】
[015014] 火＝大【明】
[015101] 迦攝＝迦葉【明】下同
[015102] 甥＝生【明】＊
[015103] 〔曰〕－【明】
[015104] 唱歌＝歌唱【明】
[015105] 他＝陀【明】＊
[015106] 小＝少【明】
[015107] 〔以〕－【明】
[015108] 綣＝捲【明】＊
[015109] 猴＝獾【明】＊
[015110] 竊＝盜【明】
[015111] 爾宜＝宜爾【明】
[015112] （牛）＋告【明】
[015113] 〔譯為牛王〕－【明】
[015114] 若情存＝苦存情【明】
[015115] 時＝是【明】
[015116] 田＝內【明】
[015201] 尊＋（世世）【明】
[015202] 阿＝訶【明】
[015203] 〔時〕－【明】
[015204] 其＝王【明】
[015205] 慼＝感【明】
[015206] 往＝住【明】
[015207] 其＝於【明】
[015208] 少＝小【明】
[015209] 人＝子【明】
[015210] 出＝法【明】
[015211] 當＝常【明】
[015212] 語＝說【明】＊
[015213] 利＝沴【明】
[015214] 村＝相【明】
[015215] 身＝娠【明】
[015216] 〔巧〕－【明】
[015217] （一）＋技【明】
[015218] 復＝覆【明】
[015219] 吉日＝告曰【明】
[015220] 晨＝辰【明】
[015301] 〔既〕－【明】
[015302] 〔其〕－【明】＊
[015303] 小＝少【明】
[015304] 〔盡〕－【明】
[015305] 語＝論【明】
[015306] 令＝今【明】＊
[015401] 咸＋（言）【明】
[015402] 〔無隙〕－【明】
[015403] 定＋（故）【明】
[015404] 〔作〕－【明】
[015405] 〔不〕－【明】＊
[015501] 〔之〕－【明】
[015502] 舡＝船【明】＊
[015503] 磨＝摩【明】
[015504] 支＝肢【明】
[015505] 盤＝槃【明】
[015506] 〔我〕－【明】
[015507] 波＝婆【明】＊
[015601] 積＝用【明】
[015602] 估＝沽【明】＊
[015603] 憂悲＝悲憂【明】
[015604] 爾＝於【明】
[015605] 〔妙〕－【明】
[015606] 〔憍〕－【明】
[015607] 〔度〕－【明】
[015608] 人民＝民人【明】
[015701] 成熟＝熟成【明】
[015702] 〔諸〕－【明】
[015703] 並＝普【明】
[015704] 具＝土【明】
[015705] 壤＝壞【明】＊
[015706] 盲＝育【明】＊
[015707] 迦攝＝迦葉【明】下同
[015708] 少＝小【明】
[015709] [病-丙+尼]＋（斯）【明】
[015710] [跍*月]＝胡【明】
[015711] 〔百〕－【明】
[015801] 于＝於【明】＊
[015802] 渧＝滴【明】
[015803] 言＝曰【明】
[015804] 圍＝韋【明】
[015805] 〔不〕－【明】
[015806] 今＝令【明】
[015807] 得＝行【明】
[015808] 等＝當【明】
[015809] 筏＝伐【明】
[015901] 目＝自【明】
[015902] 輪＝輸【明】
[015903] 舡＝船【明】＊
[015904] 工＝功【明】＊
[015905] [外*男]甥＝外甥【明】下同
[015906] 常用＝用常【明】
[015907] 白＝曰【明】
[015908] 四＋（[腳-谷+去]）【明】
[015909] 〔欲〕－【明】
[015910] 于＝於【明】＊
[016001] 速＝連【明】
[016002] 〔可〕－【明】
[016003] 是＋（於）【明】
[016004] 害＝割【明】
[016005] 喧＝沸【明】
[016006] 即＝則【明】＊
[016007] 〔止〕－【明】
[016101] 斫＝破【明】
[016102] 迎＝延【明】
[016103] 墜＝墮【明】
[016104] 戀＝變【明】
[016105] 波＝婆【明】＊
[016106] [病-丙+尼]＋（斯）【明】
[016107] 言＝曰【明】
[016108] 飲＝餘【明】
[016109] 到＝別【明】
[016110] 船＝舟【明】
[016111] 由＝猶【明】
[016112] 乃＝及【明】
[016113] 陵＝倰【明】
[016201] 名＝命【明】
[016202] 受＝授【明】
[016203] 〔王〕－【明】
[016204] 柴＋（木）【明】
[016205] 〔追念…火〕十二字－【明】
[016206] 〔諸〕－【明】
[016207] 估＝酤【明】
[016208] 離＝雖【明】
[016209] 劫＝[去*ㄗ]【明】
[016210] 陀＝[馬*太]【明】
[016211] 討＝[罩-卓+討]【明】
[016212] 〔還〕－【明】
[016213] 〔染〕－【明】
[016301] 搭＝蹋【明】
[016302] 〔之〕－【明】
[016303] 內＝中【明】
[016304] 瓔珞＝珠瓔【明】
[016305] 現＝見【明】
[016306] 餅＝餘【明】
[016307] 餅＝[金*本]【明】
[016308] 〔佛〕－【明】
[016309] 〔餅〕－【明】
[016310] 子＝兒【明】
[016311] 漸＋（漸）【明】
[016401] 〔故〕－【明】
[016402] 士＝仕【明】
[016403] 〔時〕－【明】
[016404] 物＝寶【明】
[016405] 太＝大【明】
[016406] 以＝已【明】
[016407] 由＝我【明】
[016408] 迦攝＝迦葉【明】下同
[016501] 現＝見【明】
[016502] 繼＝往【明】
[016503] 擗＝躄【明】
[016504] 迦＝劫【明】
[016505] 共＝俱【明】
[016506] 遣＝遞【明】
[016507] 逮＝還【明】
[016508] 〔王宮〕－【明】
[016509] 〔微〕－【明】
[016510] 撮＝挽【明】
[016511] 卷＝捲【明】
[016512] 相＝見【明】
[016513] 詣＝諸【明】
[016601] 誓＝逝【明】
[016602] 之知＝知之【明】
[016603] 波＝婆【明】＊
[016604] 〔一〕－【明】
[016605] 教＝告【明】
[016606] 〔世〕－【明】
[016607] 〔辟支佛〕－【明】
[016608] 弗＝子【明】
[016609] 揵＝犍【明】下同
[016701] 在＝告【明】
[016702] 福＝善【明】
[016703] 去＋（世）【明】
[016704] 策＝冊【明】
[016705] 臣＝佐【明】
[016706] 令＝今【明】
[016707] 未＝來【明】
[016708] 〔法〕－【明】
[016801] 〔有〕－【明】
[016802] 及＝乃【明】
[016803] 我＋（堂）【明】
[016804] 〔後夜〕－【明】
