#********************************************************
# 【明】── 用以校勘版本
#　＝　 ── 作
#　－　 ── 無
#　＋　 ── 有
#　＊　 ── 下同
#　…　 ── 略
#　◎　 ── 異同
#　∞　 ── 位置對調
# （）　── 與＋配合使用
# 〔〕　── 與－配合使用
#　ｉ　 ── 原底本註記應作（原為日文[仁-二]）
#　ｋ　 ── 原底本註記疑似（原為日文[力]）
#　？　 ── 原校對者疑似有誤
#  ●   ── 原書印刷不清
#  ★   ── 找不到源頭的＊
#********************************************************
[000101]01  中論卷第一＝中論序【三】
[000809]09  〔有〕－【三】
[000810]10  〔得〕－【三】
[000811]11  已＝以【三】＊
[000812]12  有＋（得）【三】
[000813]13  〔何以故〕－【三】
[000814]14  合，Sahabhaava.
[000815]15  〔以〕－【三】
[000816]16  而＋（有）【三】
[000817]17  異，P.rthak.
<000801>＊  已＝以【三】
<000802>＊  已＝以【三】
[000818]18  ◎次頁 不分卷【明】
[000819]19  中論＝中觀論【宋】【元】
<000901>＊  〔梵志青目釋〕－【三】
<000902>＊  三藏＋（法師）【三】
[000901]01  ◎前頁 不分卷【明】，（中觀論）＋觀【宋】【元】，觀三相品，梵. Sa.msk.rtapariik.saa.
[000902]02  〔三十五偈〕－【三】
[000903]03  生，Utpaada.
[000904]04  有為，Sa.msk.rta.
[000905]05  三相，Tri-lak.sa.na.
[000906]06  無為，Asa.msk.rta.
[000907]07  為＝與【三】＊
[000908]08  第二偈. Utpaadaadyaas trayo vyastaa naala.m lak.sa.nakrma.ni, Sa.msk.rtasya samastaa.h syur ekatra katham ekada,
<000903>＊  為＝與【三】
[000909]09  住，Sthiti.
[000910]10  滅，Bhanga.
[000911]11  無窮，Anavastha.
[000912]12  生生，Utpaadotpaada.
[000913]13  本生，Mluuot-paada.
[000914]14  生＝本【明】
[000915]15  第七偈. 梵本缺, 以下順次偈數異
[000916]16  照了＝等照【三】
[000917]17  〔燈〕－【三】
[001001]01  破＋（闇）【三】
[001002]02  〔亦〕－【三】
[001003]03  〔可〕－【三】
[001004]04  （若）＋是【三】
[001005]05  未＝不【三】＊
[001006]06  〔應〕－【三】
[001007]07  〔皆〕－【三】
<001001>＊  未＝不【三】
<001002>＊  未＝不【三】
<001003>＊  未＝不【三】
<001004>＊  未＝不【三】
<001005>＊  未＝不【三】
<001006>＊  未＝不【三】
[001008]08  已＝亦【三】
<001007>＊  未＝不【三】
[001009]09  生＋（生）【三】
[001010]10  寂滅，`Saanta.
[001101]01  第二十偈.（梵第十九偈）Anya utpaadayatyena.m yady utpaado 'navasthiti.h, Athaanutpaada utpanna.h sarvam utpadyate tathaa.
[001102]02  離＝雖【三】
[001103]03  能自＝自能【三】
[001104]04  不滅，Anirudhyamana.
[001105]05  一＝二【三】
[001106]06  不住法，Asthita-bhaava.
[001107]07  住，Ti.s.thamaana.
[001108]08  〔不住…故〕九字－【三】
[001109]09  住時＝不住法【三】
[001110]10  住＋（無住相故住時亦不住）【三】
[001111]11  故＋（住時）【三】
[001112]12  相＋（欲滅）【三】
[001113]13  滅相＋（欲滅）【三】
[001114]14  第二十五偈.（梵第二十四偈）Jaraamara.na-dharme.su sarvabhaave.su sarvadaa, Ti.s.thanti katame bhaavaa ye jaraamar.ana.m vinaa.（老死, Jaraamarana）
[001115]15  已滅，Niruddha.
[001116]16  未滅，Aniruddha.
[001117]17  滅時，Nirudhyaaana.
[001118]18  無生，Ajaata.
[001119]19  法若＝若法【三】
[001120]20  由＝猶【三】
[001121]21  不＝無【三】
[001122]22  第二十九偈.（梵第二十八偈）Tayaaivaavasthayaavasthaa na hi saiva nirudhyate, Anyayaavasthayaavasthaa na ca 'nyai 'va niru dhyate.（時＝狀態, Avasthaa.）
[001123]23  有無，Bhaava，Abhaava.
[001124]24  即＝則【三】
[001201]01  第二頭, Dvitiiya-`siras.
[001202]02  自相滅＝從自體滅，Svaatmanaa nirodha.
[001203]03  他相滅＝從他體滅，Paraatmanaa nirodha.
[001204]04  無＋（生）【三】
[001205]05  幻，Maayaa.
[001206]06  夢，Svapna.
[001207]07  乾闥婆城，Gandharvanagara.
[001208]08  （如）＋化【三】
[001209]09  〔中論〕－【明】
[001210]10  觀作作者品，Karmakaaraka-Pariiksa，觀＋（破）【三】
[001211]11  〔十二偈〕－【三】
[001212]12  答＝說【三】
[001213]13  第一偈. Sadbhuuta.h kaaraka.h karma sadbhuuta .n na karoti aya.m, kaarako naapy asadbhuuta.h karmaasadbhuutam iihate（決定, Sadbhuuta; 作者, Kaaraka; 業, Karman; 無決定, Asadbhuuta）.
[001214]14  〔決〕－【三】
[001215]15  作＋（業）【三】
[001216]16  有＝大【三】
[001217]17  （大）＋涅槃【三】
[001218]18  （無）＋作【三】
[001219]19  〔先〕－【三】
[001301]01  如先＝先已【三】＊
<001301>＊  如先＝先已【三】
[001302]02  〔於〕－【三】
[001303]03  先＋（過）【三】
[001304]04  〔廣〕－【三】
[001305]05  梵，此次有一偈，以下梵漢偈數順次異
[001306]06  〔不〕－【三】
[001307]07  梵，第十二偈
[001308]08  （無）＋因【三】
[001309]09  因＝中【元】【明】
[001310]10  梵第十三偈
[001311]11  受，Upaadaana.
[001312]12  ◎卷第二終【明】
[001313]13  ◎卷第三首【明】，造號釋號譯號同異如首卷【明】，〔中論〕－【明】＊
[001314]14  觀本住品，Puurva-Parik.saa，觀＝破【三】
[001315]15  〔十二偈〕－【三】
[001316]16  第一偈. Dar`sana-sravanaadini vedanaadiini caapy atha, bhavanti yasya praag ebhya.h atha. eke vadanty uta.（誰有如是事, 誰яЯЪх如是事⑥有Зюхв）
[001317]17  本住 Praag-vyavastb tabhaava.
[001318]18  等＝耳【三】
[001319]19  可＋（破）【三】＊
<001302>＊  可＋（破）【三】
[001320]20  神＋（亦）【三】
[001321]21  法＋（先）【三】
[001322]22  故＋（若此是）【三】
[001323]23  第五偈. Ajyate, kena cit ka`s cit, ki.m cit kena c'd ajyate, kuta.h ki.m cid vinaa ka`s cit, ki.m cit ka.m cid vinaa kutaa.h.
[001324]24  本住，Puurva.
[001325]25  （若）＋眼【三】
[001401]01  眼＋（耳）【三】
[001402]02  （見）＋聞【三】
[001403]03  有＝在【三】
[001404]04  神，Atman.
[001405]05  則見＝若見者【三】
[001406]06  塵＋（故）【三】
[001407]07  第十偈. Dar`sana-`sravanaadiini vedanaadiini caa 'py atha, Bhavanti yebhyas te.sv e.sa bhuute.sv api na vidyate.（大，Bhuuta）
[001408]08  事＋（先）【三】
[001409]09  〔四〕－【三】
[001410]10  〔耳〕－【三】
[001411]11  第十二偈. Praak ca yo dar`sanaadibhya.h.
[001412]12  眼＋（耳）【三】saamprata.m co'rdhvam eva ca, Na vidyate 'sti naastii 'ti niv.rttas tatra kalpanaa.h.
<001401>＊  〔中論〕－【明】
[001413]13  觀燃可燃品，Agniindhana-Pariik.saa.，觀＝破【三】
[001414]14  〔十六偈〕－【三】
[001415]15  然＝爾【三】
[001416]16  〔故〕－【三】
[001417]17  燃，Agni.
[001418]18  可燃，Indhana.
[001419]19  燃＋（然）【三】
[001420]20  亦不可＝而不可得【三】
[001421]21  無燃火功，梵，Arambhavaiyarthya（起業無功）
[001422]22  然＝燒【三】
[001423]23  〔有然〕－【三】
[001424]24  第四偈. Tatraitasmaad idhyamaana.m indhana.m bhavatiiti cet kene 'dhyataam indhana.m tat taavan maatram ida.m yadaa.
[001501]01  燒＝然【三】
[001502]02  如此至彼人彼人至此人，梵，Strii （女） sampraapnoti puru.sa.m （男），puru.sa`s ca striya.m yathaa.
[001503]03  （彼）＋答【三】
[001504]04  二＝一【三】
[001505]05  第九偈. Yadhiindhanam apck.syaagnir agne.h siddhasya saadhana.m, Eva.m satiindhana.m caapibhavi.syati niragnika.m.
[001506]06  無＋（本因）【三】
[001507]07  已＝先【三】
[001508]08  二＝一【宋】【元】
[001509]09  說＋（因）【三】
[001510]10  〔因〕－【三】
[001511]11  可＝何【三】
[001512]12  燃＋（中）【三】
[001513]13  可燃即非＝若可燃無【三】
[001514]14  無有＝亦無【三】
[001515]15  即非＝不【三】
[001516]16  第十六偈. AAtmana`s ca satattva.m ye bhaavaana.m ca P.rthak P.rthak Nirdi`saniti na taan man ye `saa.sanas yaa 'rthakovidaan.
[001517]17  〔我〕－【三】
[001601]01  是＝道【三】
<001601>＊  〔中論〕－【明】
[001602]02  觀本際品，梵，Puurvaapara-ko.ti-pariik.saa. （前後際品），觀＝破【三】
[001603]03  〔八偈〕－【三】
[001604]04  本際，Puuva-ko.ti.
[001605]05  生死，Samsaara.
[001606]06  共，Sahakrama.
[001607]07  〔不〕－【三】
[001608]08  老死則＝則老死【三】
[001609]09  謂＝得【三】
[001610]10  汝＝而【三】
[001611]11  相及＝及相【三】
<001602>＊  〔中論〕－【明】
[001612]12  觀苦品，Duhkha-pariik.saa，觀＝破【三】
[001613]13  〔十偈〕－【三】
[001614]14  〔人〕－【三】
[001615]15  自作，Svaya.m-k.rta.
[001616]16  他作，Parakrita.
[001617]17  共作，Dvaabhyaa.m-k.rta.
[001618]18  無因作 Ahetuka.
[001619]19  果，Kaarya.
[001620]20  〔者〕－【三】
[001701]01  第八偈. Na taavat. svakrta.m du.hkha.m na hi tenaiva tat k.rtam. Paro naa ''tmak.rta`s cet syaad du.hkha.m parak.rta.m katham.
[001702]02  此彼＝彼此【三】
[001703]03  〔亦〕－【三】
<001701>＊  〔中論〕－【明】
[001704]04  觀行品，Sa.mskaara-pariik.saa，觀＝破【三】
[001705]05  〔九偈〕－【三】
[001706]06  虛誑，M.r.saa.
[001707]07  妄取相，Mo.sadharma.
[001708]08  行，Samskaara.
[001709]09  第＝等【三】
[001710]10  即是＝是即【三】
[001711]11  空＋（義）【三】
[001712]12  〔五陰名行〕－【三】
[001713]13  相＝陰【三】
[001714]14  〔性〕－【三】
[001715]15  〔可〕－【三】
[001716]16  〔但〕－【三】
[001801]01  （若）＋不【三】
[001802]02  世＋（諦）【三】
[001803]03  〔異相〕－【三】
[001804]04  此偈梵無
[001805]05  〔即〕－【三】
[001806]06  若＋（是）【三】
[001807]07  乳，Ksiira.
[001808]08  酪，Dadhi.
[001809]09  不＝無【三】
[001810]10  第八偈（梵第七偈）, Yady a`suunya.m bhavet ki.m cit syaac chuuoya.m iti ki.m cana, Na ki.m cid asty a`sunya.m ca knta.h `suunya.m bhavi.syati.
[001811]11  第九偈（梵第八偈）, `Suunyataa sarvad.r.s.tiinaa.m proktaa ni.hsara.na.m jinai.h. ye.saam tu suunyataad.r.s.tis taan asaadhyaan bhavaa.sire.
[001812]12  明＝無【宋】【元】
[001813]13  鈍＝淺【三】
[001814]14  〔是〕－【三】
[001815]15  ◎卷第二終【宋】【元】，卷第三終【明】
[001816]16  ◎卷第三首【宋】【元】，卷第四首【明】，造號釋號譯號同異如首卷【三】，中論觀＝破【三】
[001817]17  觀合品，Sa saga-paiik.saa.
[001818]18  〔八偈〕－【三】
[001901]01  〔身〕－【三】
[001902]02  染，Raaga.
[001903]03  可染，Rakta.
[001904]04  染者，Ra~njaniiya.
[001905]05  入，AAyatana.
[001906]06  煩惱，Kle`sa.
[001907]07  異相，Anyatva.
[001908]08  見等法＝作可見【三】
[001909]09  從＝所【三】
[001910]10  果＝異【三】
[001911]11  〔餘〕－【三】
[001912]12  等無有＝衣等無【三】
[001913]13  合者，Sa.msra.st.r.
[001914]14  合時，Sams.rjyamaana.
[001915]15  合法，Sa.ms.r.s.ta.
[001916]16  ◎不分卷【三】
[001917]17  ◎不分卷【三】
<001901>＊  〔梵志青目釋〕－【三】
<001902>＊  三藏＋（法師）【三】
[001918]18  觀有無品，梵，Svabhaava. （蕃本，Bhaava-abhaava）. (中論）＋觀【宋】【元】
[001919]19  （有）＋十【三】
[001920]20  眾緣中, Pratyaya-hetu, bhi.h.
[001921]21  性（自性），Svabhaava.
[001922]22  作法，K.rtaka.
[001923]23  〔從〕－【三】
[002001]01  他性，Parabhaava.
[002002]02  自性於他性，亦名為他性，Svabhaava.h parabhaavasya parabhaavo hi kathyate.
[002003]03  依＝衣【三】
[002004]04  壞，梵，Anyathaa bhaava.
[002005]05  第六偈. Svabhaavam parabhaava.m ca bhaava.m caabhaavam evaca Ye pa`syanti na pa`synti te tatva.m buddha`saane.（真實義，Tattva）.
[002006]06  如＝於【三】
[002007]07  化迦旃延經，Kaatyaayanaavavaada. （雜阿. 卷第十, No.99(262): S.22.90. Channa）
[002008]08  異＝無【三】
[002009]09  有＝在【三】
[002010]10  〔法〕－【三】
[002011]11  〔中論〕－【明】＊
[002012]12  觀縛解品，Bandhanamoksa-pariik.saa.
[002013]13  Sa skaaraa.h sa.msaranti cen na nityaa.h sa.msa ranti te, sa.msaranti ca naanityaa.h sattve 'py e.sa sama.h krama.h 諸行, Samskaaraa.h; 往來, Samsarati; 常, Nitya; 無常, Anitya.
[002014]14  生＋（故）【三】
[002015]15  種＋（品中五種）【三】
[002016]16  第三偈. 梵, Upaadaanaad upaadaana.m samsaran vibhavo bhavet, Vibhava`s caanupaadaana.h ka.h sa kim sam sari.syati（身，梵，取，Upaadaana. 無身，梵，非有，Vibhava.）
[002101]01  亦＋（無）【三】
[002102]02  不＝無【三】
[002103]03  諸行生滅相，不縛亦不解，Na bhandyante na mucyanta udayavyaya-dharmina.h Samskaaraa.h.
[002104]04  第七偈 Badhniiyaad bandhana.m kaama.m bandhyaat puurva.m bheved yadi, Na caastitat, `se.sam ukta.m gamyamaana-gata 'gatai.h（若可縛先縛. 若Ё可縛ыэ先Я縛ヤьд; 去來＝去來品.）
[002105]05  無＝不【三】
[002106]06  言＋（定）【三】
<002101>＊  〔中論〕－【明】
[002107]07  觀有無品，梵 Karmaphalalapariik.saa.
[002108]08  第一偈. 梵 AAtma-samyamaka.m ceta.h paraanugraaha.ka.m ca yat Maitra.m sa dharmas tad biija.m phalasya pretya ceha ca.
[002109]09  〔為〕－【三】
[002110]10  思業 Cetanaa-karman.
[002111]11  從思生業，Cetayitvaa-k.
[002112]12  意業，Maanasa-k.
[002113]13  身業，Kaayika-k.
[002114]14  口業，Vaacika-k.
[002115]15  身業，梵 Vi.spanda. （動）.
[002116]16  口業，梵 Vaac （語），
[002117]17  作業，[Vij~napti. （表業）]
[002118]18  無作業，Avij~napti（無表業），
[002119]19  善，梵 Virata（遠離），
[002120]20  不善，梵 Avirata （非遠離）
[002121]21  用，Paribhoga.
[002122]22  福德，Pu.nya.
[002123]23  罪，Apu.nya.
[002124]24  以上二偈梵文，Vaag vi.spando 'viratayo yaa`s caa 'vij~napti-sa.mj~nitaah, Avij~naptaya evaa 'nya.h sm.rtaa viratayas tathaa. Paribhogaa 'nvaya.m pu.nyam apu.nyam ca tathaa-vidha.m, Cetanaa ce 'ti saptai 'te dharmaa.h karmaa '~njanaa.h sm.rta.h.
[002125]25  無＝不【三】
[002126]26  殺＋（一）【三】
[002201]01  業＝常【三】
[002202]02  相續，Abhipravartate.
[002203]03  德＝業【三】
[002204]04  十白業道，Da`sa-`sukla-karmapathaah.
[002205]05  五欲樂，Pa~nca-kaamagu.naa.h.
[002206]06  不失法，Avipra.naa`sa.
[002207]07  負財物，.R.na.
[002208]08  性，Prak.rti.
[002209]09  無記，Avyaak.rta.
[002210]10  四種，Caturvidho dhaatuta.h.
[002211]11  見諦，Prahaa.na.
[002212]12  斷，Praheya.
[002213]13  思惟所斷，Bhaavanaa-praheya.
